nct_id,study_first_submitted_date,submission_year,temporal_group,selection_stratum,requested_version,source_url,http_status,response_bytes,response_sha256,record_payload_present,programmatic_record_retrieved,historically_eligible,rejection_reason,error
NCT00000475,1999-10-27,1999,development,development_legacy_1999_2004,1,https://clinicaltrials.gov/study/NCT00000475?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT00000476,1999-10-27,1999,development,development_legacy_1999_2004,1,https://clinicaltrials.gov/study/NCT00000476?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT00000516,1999-10-27,1999,development,development_legacy_1999_2004,1,https://clinicaltrials.gov/study/NCT00000516?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT00000542,1999-10-27,1999,development,development_legacy_1999_2004,1,https://clinicaltrials.gov/study/NCT00000542?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT00404807,2006-11-28,2006,development,development_modern_2006_2011,1,https://clinicaltrials.gov/study/NCT00404807?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT00710567,2008-07-02,2008,development,development_modern_2006_2011,1,https://clinicaltrials.gov/study/NCT00710567?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT00922402,2009-06-16,2009,development,development_modern_2006_2011,1,https://clinicaltrials.gov/study/NCT00922402?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT01113840,2010-04-29,2010,development,development_modern_2006_2011,1,https://clinicaltrials.gov/study/NCT01113840?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT01576861,2012-03-19,2012,development,development_modern_2012_2017,1,https://clinicaltrials.gov/study/NCT01576861?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT01807897,2013-03-01,2013,development,development_modern_2012_2017,1,https://clinicaltrials.gov/study/NCT01807897?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT03089502,2017-03-16,2017,development,development_modern_2012_2017,1,https://clinicaltrials.gov/study/NCT03089502?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT03090724,2017-03-20,2017,development,development_modern_2012_2017,1,https://clinicaltrials.gov/study/NCT03090724?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT03414632,2018-01-23,2018,validation,validation_2018_2020,1,https://clinicaltrials.gov/study/NCT03414632?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT03425422,2018-01-26,2018,validation,validation_2018_2020,1,https://clinicaltrials.gov/study/NCT03425422?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT03615469,2018-07-20,2018,validation,validation_2018_2020,1,https://clinicaltrials.gov/study/NCT03615469?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT04248894,2020-01-23,2020,validation,validation_2018_2020,1,https://clinicaltrials.gov/study/NCT04248894?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT04283994,2020-02-19,2020,validation,validation_2018_2020,1,https://clinicaltrials.gov/study/NCT04283994?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
NCT04575428,2020-08-20,2020,validation,validation_2018_2020,1,https://clinicaltrials.gov/study/NCT04575428?tab=history&a=1,200,94323,e5bfa50054351e7adaf6f79e3d42273cc157862e5e652c9a13ca737c02132337,False,False,False,"HTTP 200 contained the client application shell, not the historical record payload",
